"id","TypeCode","Type","Name","WardCode","Ward","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"41f51256-8266-475e-ae11-eb423863468f","2","Municipality","Melur (M)","20MU0116W","Melur (M) WARD NO.-0015","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"4217c929-cd9a-4c29-b318-654a695df2ff","3","Corporation","Zone 4- South","20MC0185W","Madurai (M Corp.) WARD NO.-0085","System","2022-10-15 10:04:26.502928+00","","2022-10-15 10:04:26.502928+00"
"43d38796-b66b-462c-af62-59644305bf67","1","Town Panchayat","T.Kallupatti (TP)","20TP0802W","T.Kallupatti (TP) WARD NO.-0001","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"4436770e-2b9f-4578-b2c4-e9b5323689ef","3","Corporation","Zone 3- Central","20MC0151W","Madurai (M Corp.) WARD NO.-0051","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"448cb0ae-7b2d-4516-8d3b-f70bb9b9118c","1","Town Panchayat","Vadipatti (TP)","20TP0901W","Vadipatti (TP) WARD NO.-0001","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"45623893-85a8-412a-b915-110ee979b6cc","1","Town Panchayat","Vilangudi (TP)","20CT2209W","Vilangudi (TP) WARD NO.-0009","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"4574994c-7f7c-42c3-9dc5-6d1fc71e4337","1","Town Panchayat","Palamedu (TP)","20TP0509W","Palamedu (TP) WARD NO.-0009","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"45878032-5c1a-4927-b9ff-81e9939eadb6","1","Town Panchayat","Vadipatti (TP)","20TP0902W","Vadipatti (TP) WARD NO.-0002","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"46f309e3-f256-4d48-9c43-cd56a6106f9a","1","Town Panchayat","Vadipatti (TP)","20TP0903W","Vadipatti (TP) WARD NO.-0003","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"475419b0-4a26-4343-a89c-78ac71c553c1","2","Municipality","Thirumangalam (M)","20MU0223W","Thirumangalam (M) WARD NO.-0023","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"47791f98-9990-44a8-95c6-87b55f6658ce","1","Town Panchayat","Karadipatti (CT)","20CT0601W","Karadipatti (CT) WARD NO.-0001","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"47b37ca9-bbb9-437b-a6bf-9d0feb80edf2","3","Corporation","Zone  1- East","20MC0114W","Madurai (M Corp.) WARD NO.-0014","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
